PTN_NO,PRODUCT_ID,URL
17046,Women's Value T-Shirts,+womens-value-t-shirts
17062,Women's Zip Up Hoodies,+womens-zip-up-hoodies
20387,Wood & Acrylic Baubles,+wood-acrylic-baubles
17120,Wood Coasters,+wood-coasters
17195,Wood Cutting Boards,+wood-cutting-boards
17173,Woven Blankets,+woven-blankets
17283,Yard Signs,+yard-signs
18180,year,+year
19701,Yellowstone,+yellowstonetv
18820,your text,+your-text
20007,Zeta Beta Tau Fraternity,+zeta-beta-tau-fraternity
20004,Zeta Psi Fraternity,+zeta-psi-fraternity
19803,Zeta Tau Alpha  Sorority,+zeta-tau-alpha-sorority
20375,Zip-Up Hoodies,+zip-up-hoodies
17128,Zipper Pouches,+zipper-pouches
17124,Zipper Tote Bags,+zipper-tote-bags
